Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Batuhan,2024-09-09 03:37:17,00:01:28,,Prison Break: Season 1_hook_primary_16x9,HOOK,Sony PS5,00:01:28,Not latest view,TR (Turkey)
Batuhan,2024-09-09 03:35:20,00:01:55,,Season 1 Trailer: The Umbrella Academy,TRAILER,Sony PS5,00:01:55,Not latest view,TR (Turkey)
Batuhan,2024-09-09 03:33:04,00:02:13,,Season 1 Trailer: Avatar The Last Airbender,TRAILER,Sony PS5,00:02:13,Not latest view,TR (Turkey)
Batuhan,2024-09-09 03:32:03,00:00:59,,Vikings: Season 1_hook_primary_16x9,HOOK,Sony PS5,00:00:59,Not latest view,TR (Turkey)
Batuhan,2024-09-09 03:31:06,00:00:55,,Suits: Season 1_hook_primary_16x9,HOOK,Sony PS5,00:00:55,Not latest view,TR (Turkey)
Batuhan,2024-09-09 03:30:25,00:00:39,,Dexter: Season 1_hook_primary_16x9,HOOK,Sony PS5,00:00:39,Not latest view,TR (Turkey)
Batuhan,2024-09-09 03:29:24,00:01:00,Autoplayed: user action: None; ,Breaking Bad: Season 1_hook_primary_16x9,HOOK,Sony PS5,00:01:00,Not latest view,TR (Turkey)
Batuhan,2024-09-09 02:34:58,00:53:27,,Project Power,,Sony PS5,01:46:44,01:46:44,TR (Turkey)
Batuhan,2024-09-09 00:27:48,01:25:58,,Project Power,,Sony PS5,01:25:58,Not latest view,TR (Turkey)
Batuhan,2024-09-09 00:26:51,00:00:55,Autoplayed: user action: None; ,Project Power - CLM 5,HOOK,Sony PS5,00:00:55,00:00:55,TR (Turkey)
Batuhan,2024-09-09 00:26:37,00:00:10,Autoplayed: user action: None; ,Source Code_hook_01_16x9_backfill,HOOK,Sony PS5,00:00:10,00:00:10,TR (Turkey)
Batuhan,2024-09-09 00:25:32,00:00:11,Autoplayed: user action: None; ,Trailer: The Witcher: Nightmare of the Wolf,TRAILER,Sony PS5,00:00:11,00:00:11,TR (Turkey)
Batuhan,2024-09-09 00:24:56,00:00:09,Autoplayed: user action: None; ,R.I.P.D._hook_primary_16x9,HOOK,Sony PS5,00:00:09,Not latest view,TR (Turkey)
Batuhan,2024-09-09 00:23:44,00:00:19,Autoplayed: user action: None; ,Trailer: The Deliverance,TRAILER,Sony PS5,00:00:19,00:00:19,TR (Turkey)
Batuhan,2024-09-09 00:23:17,00:00:12,Autoplayed: user action: None; ,Inciting Incident Clip: The Monkey King,HOOK,Sony PS5,00:00:12,00:00:12,TR (Turkey)
Batuhan,2024-09-09 00:22:38,00:00:12,Autoplayed: user action: None; ,The Batman_hook_01_16x9,HOOK,Sony PS5,00:00:12,Not latest view,TR (Turkey)
Batuhan,2024-09-09 00:22:17,00:00:08,Autoplayed: user action: None; ,The Day After Tomorrow_hook_04_16x9,HOOK,Sony PS5,00:00:08,00:00:08,TR (Turkey)
Batuhan,2024-09-09 00:22:06,00:00:04,Autoplayed: user action: None; ,Spider-Man - CLM 8,HOOK,Sony PS5,00:00:04,00:00:04,TR (Turkey)
